# s_m, x_m, y_m,longitude,latitude, psi_rad, kappa_radpm, vx_mps, ax_mps2
454.4224507, 78.6698702, 43.4667234,-86.9434699,40.43809113, 1.5875431, 0.0025105, 26.4832327, 4.1557232
456.4155316, 76.6770662, 43.4284472,-86.94349346,40.43809078, 1.5924134, 0.0023722, 26.7941598, 2.9675973
458.4086126, 74.6845842, 43.3807534,-86.94351701,40.43809035, 1.5969952, 0.0022257, 27.0140023, -1.2038953
460.4016935, 72.6921950, 43.3242487,-86.94354057,40.43808984, 1.6012367, 0.0020285, 26.9250329, -3.5357699
462.3947744, 70.7001068, 43.2596915,-86.94356412,40.43808926, 1.6050787, 0.0018231, 26.6620188, -6.1270112
464.3878553, 68.7084532, 43.1879049,-86.94358767,40.43808862, 1.6084993, 0.0016097, 26.1999998, -9.6379838
466.3809363, 66.7169767, 43.1101286,-86.94361121,40.43808792, 1.6108486, 0.0007026, 25.4562650, -10.1162039
468.3740172, 64.7243176, 43.0295464,-86.94363477,40.43808719, 1.6111726, -0.0005469, 24.6515030, -10.4729137
470.3670981, 62.7334093, 42.9513040,-86.94365831,40.43808649, 1.6084229, -0.0022240, 23.7897009, -10.6295300
472.3601790, 60.7377490, 42.8800749,-86.94368191,40.43808585, 1.6050459, -0.0008765, 22.8818453, -10.4993224
474.3532600, 58.7451857, 42.8124935,-86.94370546,40.43808524, 1.6047357, 0.0002060, 21.9482766, -10.3802317
476.3463409, 56.7571538, 42.7444451,-86.94372897,40.43808463, 1.6053612, 0.0004261, 20.9845077, -10.4080816
478.3394218, 54.7679666, 42.6715649,-86.94375249,40.43808397, 1.6114254, 0.0059896, 19.9715113, -9.8999190
480.3325027, 52.7867270, 42.5765694,-86.94377591,40.43808312, 1.6256430, 0.0048106, 18.9578106, -9.3578800
482.3255837, 50.7864075, 42.4626165,-86.94379956,40.43808209, 1.6270972, -0.0031588, 17.9470488, -8.3768670
484.3186646, 48.8068741, 42.3623509,-86.94382296,40.43808119, 1.6132156, -0.0107166, 16.9913217, -7.6490420
486.3117455, 46.8052311, 42.3040152,-86.94384663,40.43808066, 1.5835199, -0.0202812, 16.0690601, -6.9048039
488.3048264, 44.8104075, 42.3275923,-86.94387021,40.43808088, 1.5300134, -0.0336029, 15.1885163, -5.9552330
490.2979074, 42.8184280, 42.4802478,-86.94389376,40.43808225, 1.4577245, -0.0373358, 14.3858439, -5.3131281
492.2909883, 40.8528490, 42.7792920,-86.943917,40.43808494, 1.3810186, -0.0400617, 13.6298759, -4.4974533
494.2840692, 38.9144847, 43.2344554,-86.94393992,40.43808904, 1.2984671, -0.0425466, 12.9555370, -3.9202664
496.2771501, 37.0345171, 43.8461023,-86.94396215,40.43809454, 1.2143075, -0.0417980, 12.3377114, -3.5815512
498.2702311, 35.1858291, 44.6217841,-86.943984,40.43810152, 1.1336891, -0.0406036, 11.7448917, -3.2461112
500.2633120, 33.4191169, 45.5469282,-86.94400489,40.43810985, 1.0378318, -0.0565802, 11.1804720, -3.4259950
502.2563929, 31.7406860, 46.6879475,-86.94402473,40.43812011, 0.9046065, -0.0721220, 10.5520796, -3.5216087
504.2494738, 30.2972231, 48.0166349,-86.9440418,40.43813207, 0.7392648, -0.1023368, 9.8645163, -0.9553787
506.2425547, 29.1158693, 49.6423884,-86.94405577,40.4381467, 0.5140146, -0.1134838, 9.6695599, -0.7883200
508.2356357, 28.3426356, 51.4279034,-86.94406491,40.43816276, 0.3075574, -0.0997936, 9.5056834, -0.5661781
510.2287166, 27.9169916, 53.3758784,-86.94406994,40.43818029, 0.1304230, -0.0787019, 9.3862207, 0.0610606
512.2217975, 27.8110224, 55.3707319,-86.94407119,40.43819824, -0.0245423, -0.0793917, 9.3991775, 1.4968347
514.2148784, 28.0189691, 57.3623361,-86.94406873,40.43821616, -0.1808937, -0.0737179, 9.7113934, 2.1141239
516.2079594, 28.5143851, 59.2874011,-86.94406288,40.43823349, -0.3200235, -0.0641322, 10.1359954, 2.5966249
518.2010403, 29.2482876, 61.1372671,-86.9440542,40.43825013, -0.4287812, -0.0444508, 10.6343298, 4.0308347
520.1941212, 30.1411693, 62.9021266,-86.94404364,40.43826601, -0.5040204, -0.0319738, 11.3647054, 4.6388559
522.1872021, 31.1496776, 64.6186015,-86.94403172,40.43828146, -0.5520371, -0.0127268, 12.1510394, 5.2289996
524.1802831, 32.2103695, 66.3230679,-86.94401918,40.4382968, -0.5535105, 0.0105377, 12.9804237, -2.9641727
526.1733640, 33.2388106, 68.0551987,-86.94400702,40.43831238, -0.5106255, 0.0331097, 12.5170175, -3.7675498
528.1664449, 34.1433469, 69.8491225,-86.94399633,40.43832852, -0.4132834, 0.0620126, 11.9020025, -4.2211860
530.1595258, 34.8038195, 71.6930497,-86.94398852,40.43834512, -0.2651879, 0.0908650, 11.1727943, -3.7414538
532.1526068, 35.1462246, 73.6534386,-86.94398447,40.43836276, -0.0826558, 0.0853091, 10.4841448, -1.6419031
534.1456877, 35.1568716, 75.6280734,-86.94398434,40.43838052, 0.0681155, 0.0726538, 10.1672218, -0.4773053
536.1387686, 34.8775935, 77.6036357,-86.94398764,40.4383983, 0.2137548, 0.0760170, 10.0732211, 1.9390741
538.1318495, 34.3000907, 79.5194068,-86.94399447,40.43841554, 0.3742601, 0.0832931, 10.4498444, 1.6187547
