latitude,longitude
40.43799333,-86.94479315
40.43798187,-86.94481142
40.4379686,-86.94482668
40.43795316,-86.94483859
40.4379364,-86.94484518
40.43791874,-86.94484597
40.43790077,-86.94484182
40.43788399,-86.94483355
40.43786859,-86.94482155
40.43785493,-86.94480638
40.43784304,-86.94478882
40.43783265,-86.9447696
40.43782345,-86.94474941
40.43781498,-86.94472864
40.43780684,-86.9447077
40.43779879,-86.94468673
40.43779077,-86.94466569
40.43778274,-86.94464465
40.43777465,-86.94462366
40.43776646,-86.94460273
40.43775815,-86.94458189
40.4377497,-86.94456115
40.43774113,-86.94454049
40.43773243,-86.94451992
40.43772361,-86.94449945
40.43771468,-86.94447906
40.43770563,-86.94445876
40.43769648,-86.94443853
