timestamp,object_x,object_y,contour_area
2026-05-01-17-22-34.688886,568,260,41592.5
2026-05-01-17-22-34.735901,569,260,41364.5
2026-05-01-17-22-34.767674,569,260,41129.5
2026-05-01-17-22-34.799612,569,260,41012.0
2026-05-01-17-22-34.831776,569,259,40879.0
2026-05-01-17-22-34.863320,569,259,40734.5
2026-05-01-17-22-34.894490,569,258,40648.5
2026-05-01-17-22-34.940038,569,257,40593.0
2026-05-01-17-22-34.971043,569,257,40593.0
2026-05-01-17-22-35.001262,569,257,40558.5
2026-05-01-17-22-35.032628,568,257,40554.5
2026-05-01-17-22-35.072733,569,256,40278.5
2026-05-01-17-22-35.104349,569,255,40193.0
2026-05-01-17-22-35.136356,569,256,40112.5
2026-05-01-17-22-35.172613,569,256,39991.5
2026-05-01-17-22-35.203496,570,256,39801.5
2026-05-01-17-22-35.236077,570,256,39602.0
2026-05-01-17-22-35.271233,571,256,39366.5
2026-05-01-17-22-35.304008,571,257,39202.0
2026-05-01-17-22-35.338268,571,257,39205.0
2026-05-01-17-22-35.373059,571,257,39130.5
2026-05-01-17-22-35.405133,571,257,39130.5
2026-05-01-17-22-35.438346,572,259,39151.0
2026-05-01-17-22-35.471879,571,259,39358.5
2026-05-01-17-22-35.519870,571,259,39645.0
2026-05-01-17-22-35.554246,571,259,39824.5
2026-05-01-17-22-35.588305,570,259,40245.0
2026-05-01-17-22-35.622804,570,259,40709.0
2026-05-01-17-22-35.653184,569,259,41239.0
2026-05-01-17-22-35.688775,568,258,41520.0
2026-05-01-17-22-35.723364,568,258,41785.5
2026-05-01-17-22-35.756542,568,258,41829.0
2026-05-01-17-22-35.787837,568,258,41882.5
2026-05-01-17-22-35.823123,567,258,42164.5
2026-05-01-17-22-35.856023,567,258,42232.5
2026-05-01-17-22-35.886388,567,258,42321.0
2026-05-01-17-22-35.922831,567,258,42354.5
2026-05-01-17-22-35.954365,566,258,42457.0
2026-05-01-17-22-35.986387,566,258,42476.0
2026-05-01-17-22-36.022871,566,258,42485.0
